kingdom,clan,family,name,url
"Strings, Numbers",Numbers,Bitwise,unsigned-bit-shift-right,https://clojuredocs.org/clojure_core/clojure.core/unsigned-bit-shift-right
"Strings, Numbers",Numbers,Cast,BigInteger,https://docs.oracle.com/javase/8/docs/api/java/math/BigInteger.html
"Strings, Numbers",Numbers,Cast,byte,https://clojuredocs.org/clojure_core/clojure.core/byte
"Strings, Numbers",Numbers,Cast,short,https://clojuredocs.org/clojure_core/clojure.core/short
"Strings, Numbers",Numbers,Cast,int,https://clojuredocs.org/clojure_core/clojure.core/int
"Strings, Numbers",Numbers,Cast,long,https://clojuredocs.org/clojure_core/clojure.core/long
"Strings, Numbers",Numbers,Cast,float,https://clojuredocs.org/clojure_core/clojure.core/float
"Strings, Numbers",Numbers,Cast,double,https://clojuredocs.org/clojure_core/clojure.core/double
"Strings, Numbers",Numbers,Cast,bigdec,https://clojuredocs.org/clojure_core/clojure.core/bigdec
"Strings, Numbers",Numbers,Cast,bigint,https://clojuredocs.org/clojure_core/clojure.core/bigint
"Strings, Numbers",Numbers,Cast,num,https://clojuredocs.org/clojure_core/clojure.core/num
"Strings, Numbers",Numbers,Cast,rationalize,https://clojuredocs.org/clojure_core/clojure.core/rationalize
"Strings, Numbers",Numbers,Cast,biginteger,https://clojuredocs.org/clojure_core/clojure.core/biginteger
"Strings, Numbers",Numbers,Test,zero?,https://clojuredocs.org/clojure_core/clojure.core/zero_q
"Strings, Numbers",Numbers,Test,pos?,https://clojuredocs.org/clojure_core/clojure.core/pos_q
"Strings, Numbers",Numbers,Test,neg?,https://clojuredocs.org/clojure_core/clojure.core/neg_q
"Strings, Numbers",Numbers,Test,even?,https://clojuredocs.org/clojure_core/clojure.core/even_q
"Strings, Numbers",Numbers,Test,odd?,https://clojuredocs.org/clojure_core/clojure.core/odd_q
"Strings, Numbers",Numbers,Test,number?,https://clojuredocs.org/clojure_core/clojure.core/number_q
"Strings, Numbers",Numbers,Test,rational?,https://clojuredocs.org/clojure_core/clojure.core/rational_q
"Strings, Numbers",Numbers,Test,integer?,https://clojuredocs.org/clojure_core/clojure.core/integer_q
"Strings, Numbers",Numbers,Test,ratio?,https://clojuredocs.org/clojure_core/clojure.core/ratio_q
"Strings, Numbers",Numbers,Test,decimal?,https://clojuredocs.org/clojure_core/clojure.core/decimal_q
"Strings, Numbers",Numbers,Test,float?,https://clojuredocs.org/clojure_core/clojure.core/float_q
"Strings, Numbers",Numbers,Test,double?,https://clojuredocs.org/clojure_core/clojure.core/double_q
"Strings, Numbers",Numbers,Test,int?,https://clojuredocs.org/clojure_core/clojure.core/int_q
"Strings, Numbers",Numbers,Test,nat-int?,https://clojuredocs.org/clojure_core/clojure.core/nat-int_q
"Strings, Numbers",Numbers,Test,neg-int?,https://clojuredocs.org/clojure_core/clojure.core/neg-int_q
"Strings, Numbers",Numbers,Test,pos-int?,https://clojuredocs.org/clojure_core/clojure.core/pos-int_q
"Strings, Numbers",Numbers,Random,rand,https://clojuredocs.org/clojure_core/clojure.core/rand
"Strings, Numbers",Numbers,Random,rand-int,https://clojuredocs.org/clojure_core/clojure.core/rand-int
"Strings, Numbers",Numbers,Random,with-precision,https://clojuredocs.org/clojure_core/clojure.core/with-precision
"Strings, Numbers",Numbers,Unchecked,*unchecked-math*,https://clojuredocs.org/clojure_core/clojure.core/*unchecked-math*
"Strings, Numbers",Numbers,Unchecked,unchecked-add,https://clojuredocs.org/clojure_core/clojure.core/unchecked-add
"Strings, Numbers",Numbers,Unchecked,unchecked-dec,https://clojuredocs.org/clojure_core/clojure.core/unchecked-dec
"Strings, Numbers",Numbers,Unchecked,unchecked-inc,https://clojuredocs.org/clojure_core/clojure.core/unchecked-inc
"Strings, Numbers",Numbers,Unchecked,unchecked-multiply,https://clojuredocs.org/clojure_core/clojure.core/unchecked-multiply
"Strings, Numbers",Numbers,Unchecked,unchecked-negate,https://clojuredocs.org/clojure_core/clojure.core/unchecked-negate
"Strings, Numbers",Numbers,Unchecked,unchecked-subtract,https://clojuredocs.org/clojure_core/clojure.core/unchecked-subtract
"Strings, Numbers",Strings,Create,str,https://clojuredocs.org/clojure_core/clojure.core/str
"Strings, Numbers",Strings,Create,format,https://clojuredocs.org/clojure_core/clojure.core/format
"Strings, Numbers",Strings,Create,"""a string""",https://clojure.org/reference/reader#_literals
"Strings, Numbers",Strings,Use,count,https://clojuredocs.org/clojure_core/clojure.core/count
"Strings, Numbers",Strings,Use,get,https://clojuredocs.org/clojure_core/clojure.core/get
"Strings, Numbers",Strings,Use,subs,https://clojuredocs.org/clojure_core/clojure.core/subs
"Strings, Numbers",Strings,Use,compare,https://clojuredocs.org/clojure_core/clojure.core/compare
"Strings, Numbers",Strings,Use,join,https://clojuredocs.org/clojure_core/clojure.string/join
"Strings, Numbers",Strings,Use,escape,https://clojuredocs.org/clojure_core/clojure.string/escape
"Strings, Numbers",Strings,Use,split,https://clojuredocs.org/clojure_core/clojure.string/split
"Strings, Numbers",Strings,Use,split-lines,https://clojuredocs.org/clojure_core/clojure.string/split-lines
"Strings, Numbers",Strings,Use,replace,https://clojuredocs.org/clojure_core/clojure.string/replace
"Strings, Numbers",Strings,Use,replace-first,https://clojuredocs.org/clojure_core/clojure.string/replace-first
"Strings, Numbers",Strings,Use,reverse,https://clojuredocs.org/clojure_core/clojure.string/reverse
"Strings, Numbers",Strings,Use,index-of,https://clojuredocs.org/clojure_core/clojure.string/index-of
"Strings, Numbers",Strings,Use,last-index-of,https://clojuredocs.org/clojure_core/clojure.string/last-index-of
"Strings, Numbers",Strings,Regex,Regex,http://www.regular-expressions.info/
"Strings, Numbers",Strings,Regex,"#""pattern""",https://docs.oracle.com/javase/8/docs/api/java/util/regex/Pattern.html
"Strings, Numbers",Strings,Regex,re-find,https://clojuredocs.org/clojure_core/clojure.core/re-find
"Strings, Numbers",Strings,Regex,re-seq,https://clojuredocs.org/clojure_core/clojure.core/re-seq
"Strings, Numbers",Strings,Regex,re-matches,https://clojuredocs.org/clojure_core/clojure.core/re-matches
"Strings, Numbers",Strings,Regex,re-pattern,https://clojuredocs.org/clojure_core/clojure.core/re-pattern
"Strings, Numbers",Strings,Regex,re-matcher,https://clojuredocs.org/clojure_core/clojure.core/re-matcher
"Strings, Numbers",Strings,Regex,re-groups,https://clojuredocs.org/clojure_core/clojure.core/re-groups
"Strings, Numbers",Strings,Regex,replace,https://clojuredocs.org/clojure_core/clojure.string/replace
"Strings, Numbers",Strings,Regex,replace-first,https://clojuredocs.org/clojure_core/clojure.string/replace-first
"Strings, Numbers",Strings,Regex,re-quote-replacement,https://clojuredocs.org/clojure_core/clojure.string/re-quote-replacement
"Strings, Numbers",Strings,Letters (clojure.string/),capitalize,https://clojuredocs.org/clojure_core/clojure.string/capitalize
"Strings, Numbers",Strings,Letters (clojure.string/),lower-case,https://clojuredocs.org/clojure_core/clojure.string/lower-case
"Strings, Numbers",Strings,Letters (clojure.string/),upper-case,https://clojuredocs.org/clojure_core/clojure.string/upper-case
"Strings, Numbers",Strings,Trim (clojure.string/),trim,https://clojuredocs.org/clojure_core/clojure.string/trim
"Strings, Numbers",Strings,Trim (clojure.string/),trim-newline,https://clojuredocs.org/clojure_core/clojure.string/trim-newline
"Strings, Numbers",Strings,Trim (clojure.string/),triml,https://clojuredocs.org/clojure_core/clojure.string/triml
"Strings, Numbers",Strings,Trim (clojure.string/),trimr,https://clojuredocs.org/clojure_core/clojure.string/trimr
"Strings, Numbers",Strings,Test,string?,https://clojuredocs.org/clojure_core/clojure.core/string_q
"Strings, Numbers",Strings,Test,blank?,https://clojuredocs.org/clojure_core/clojure.string/blank_q
"Strings, Numbers",Strings,Test,starts-with?,https://clojuredocs.org/clojure_core/clojure.string/starts-with_q
"Strings, Numbers",Strings,Test,ends-with?,https://clojuredocs.org/clojure_core/clojure.string/ends-with_q
"Strings, Numbers",Strings,Test,includes?,https://clojuredocs.org/clojure_core/clojure.string/includes_q
"Characters, Keywords, Symbols",Characters,Characters,char,https://clojuredocs.org/clojure_core/clojure.core/char
"Characters, Keywords, Symbols",Characters,Characters,char?,https://clojuredocs.org/clojure_core/clojure.core/char_q
"Characters, Keywords, Symbols",Characters,Characters,char-name-string,https://clojuredocs.org/clojure_core/clojure.core/char-name-string
"Characters, Keywords, Symbols",Characters,Characters,char-escape-string,https://clojuredocs.org/clojure_core/clojure.core/char-escape-string
"Characters, Keywords, Symbols",Characters,Characters,literals,https://clojure.org/reference/reader#_literals
"Characters, Keywords, Symbols",Keywords,Keywords,keyword,https://clojuredocs.org/clojure_core/clojure.core/keyword
"Characters, Keywords, Symbols",Keywords,Keywords,keyword?,https://clojuredocs.org/clojure_core/clojure.core/keyword_q
"Characters, Keywords, Symbols",Keywords,Keywords,find-keyword,https://clojuredocs.org/clojure_core/clojure.core/find-keyword
"Characters, Keywords, Symbols",Keywords,Keywords,literals,https://clojure.org/reference/reader#_literals
"Characters, Keywords, Symbols",Symbols,Symbols,symbol,https://clojuredocs.org/clojure_core/clojure.core/symbol
"Characters, Keywords, Symbols",Symbols,Symbols,symbol?,https://clojuredocs.org/clojure_core/clojure.core/symbol_q
"Characters, Keywords, Symbols",Symbols,Symbols,gensym,https://clojuredocs.org/clojure_core/clojure.core/gensym
"Characters, Keywords, Symbols",Symbols,Symbols,literals,https://clojure.org/reference/reader#_literals
"Characters, Keywords, Symbols",Misc,Misc,literals,https://clojure.org/reference/reader#_literals
"Sequences, Collections",Collections,Generic ops,count,https://clojuredocs.org/clojure_core/clojure.core/count
"Sequences, Collections",Collections,Generic ops,empty,https://clojuredocs.org/clojure_core/clojure.core/empty
"Sequences, Collections",Collections,Generic ops,not-empty,https://clojuredocs.org/clojure_core/clojure.core/not-empty
"Sequences, Collections",Collections,Generic ops,into,https://clojuredocs.org/clojure_core/clojure.core/into
"Sequences, Collections",Collections,Generic ops,conj,https://clojuredocs.org/clojure_core/clojure.core/conj
"Sequences, Collections",Collections,Generic ops,walk,https://clojuredocs.org/clojure_core/clojure.walk/walk
"Sequences, Collections",Collections,Generic ops,prewalk,https://clojuredocs.org/clojure_core/clojure.walk/prewalk
"Sequences, Collections",Collections,Generic ops,prewalk-demo,https://clojuredocs.org/clojure_core/clojure.walk/prewalk-demo
"Sequences, Collections",Collections,Generic ops,prewalk-replace,https://clojuredocs.org/clojure_core/clojure.walk/prewalk-replace
"Sequences, Collections",Collections,Generic ops,postwalk,https://clojuredocs.org/clojure_core/clojure.walk/postwalk
"Sequences, Collections",Collections,Generic ops,postwalk-demo,https://clojuredocs.org/clojure_core/clojure.walk/postwalk-demo
"Sequences, Collections",Collections,Generic ops,postwalk-replace,https://clojuredocs.org/clojure_core/clojure.walk/postwalk-replace
"Sequences, Collections",Collections,Generic ops,bounded-count,https://clojuredocs.org/clojure_core/clojure.core/bounded-count
"Sequences, Collections",Collections,Content tests,distinct?,https://clojuredocs.org/clojure_core/clojure.core/distinct_q
"Sequences, Collections",Collections,Content tests,empty?,https://clojuredocs.org/clojure_core/clojure.core/empty_q
"Sequences, Collections",Collections,Content tests,every?,https://clojuredocs.org/clojure_core/clojure.core/every_q
"Sequences, Collections",Collections,Content tests,not-every?,https://clojuredocs.org/clojure_core/clojure.core/not-every_q
"Sequences, Collections",Collections,Content tests,some,https://clojuredocs.org/clojure_core/clojure.core/some
"Sequences, Collections",Collections,Content tests,not-any?,https://clojuredocs.org/clojure_core/clojure.core/not-any_q
"Sequences, Collections",Collections,Capabilities,sequential?,https://clojuredocs.org/clojure_core/clojure.core/sequential_q
"Sequences, Collections",Collections,Capabilities,associative?,https://clojuredocs.org/clojure_core/clojure.core/associative_q
"Sequences, Collections",Collections,Capabilities,sorted?,https://clojuredocs.org/clojure_core/clojure.core/sorted_q
"Sequences, Collections",Collections,Capabilities,counted?,https://clojuredocs.org/clojure_core/clojure.core/counted_q
"Sequences, Collections",Collections,Capabilities,reversible?,https://clojuredocs.org/clojure_core/clojure.core/reversible_q
"Sequences, Collections",Collections,Type tests,coll?,https://clojuredocs.org/clojure_core/clojure.core/coll_q
"Sequences, Collections",Collections,Type tests,list?,https://clojuredocs.org/clojure_core/clojure.core/list_q
"Sequences, Collections",Collections,Type tests,vector?,https://clojuredocs.org/clojure_core/clojure.core/vector_q
"Sequences, Collections",Collections,Type tests,set?,https://clojuredocs.org/clojure_core/clojure.core/set_q
"Sequences, Collections",Collections,Type tests,map?,https://clojuredocs.org/clojure_core/clojure.core/map_q
"Sequences, Collections",Collections,Type tests,seq?,https://clojuredocs.org/clojure_core/clojure.core/seq_q
"Sequences, Collections",Collections,Type tests,record?,https://clojuredocs.org/clojure_core/clojure.core/record_q
"Sequences, Collections",Collections,Type tests,map-entry?,https://clojuredocs.org/clojure_core/clojure.core/map-entry_q
"Sequences, Collections",Lists,Create,list,https://clojuredocs.org/clojure_core/clojure.core/list
"Sequences, Collections",Lists,Create,list*,https://clojuredocs.org/clojure_core/clojure.core/list*
"Sequences, Collections",Lists,Examine,first,https://clojuredocs.org/clojure_core/clojure.core/first
"Sequences, Collections",Lists,Examine,nth,https://clojuredocs.org/clojure_core/clojure.core/nth
"Sequences, Collections",Lists,Examine,peek,https://clojuredocs.org/clojure_core/clojure.core/peek
"Sequences, Collections",Lists,Examine,.indexOf,https://docs.oracle.com/javase/8/docs/api/java/util/List.html#indexOf-java.lang.Object-
"Sequences, Collections",Lists,Examine,.lastIndexOf,https://docs.oracle.com/javase/8/docs/api/java/util/List.html#lastIndexOf-java.lang.Object-
"Sequences, Collections",Lists,Change',cons,https://clojuredocs.org/clojure_core/clojure.core/cons
"Sequences, Collections",Lists,Change',conj,https://clojuredocs.org/clojure_core/clojure.core/conj
"Sequences, Collections",Lists,Change',rest,https://clojuredocs.org/clojure_core/clojure.core/rest
"Sequences, Collections",Lists,Change',pop,https://clojuredocs.org/clojure_core/clojure.core/pop
"Sequences, Collections",Vectors,Create,vector,https://clojuredocs.org/clojure_core/clojure.core/vector
"Sequences, Collections",Vectors,Create,vec,https://clojuredocs.org/clojure_core/clojure.core/vec
"Sequences, Collections",Vectors,Create,vector-of,https://clojuredocs.org/clojure_core/clojure.core/vector-of
"Sequences, Collections",Vectors,Create,mapv,https://clojuredocs.org/clojure_core/clojure.core/mapv
"Sequences, Collections",Vectors,Create,filterv,https://clojuredocs.org/clojure_core/clojure.core/filterv
"Sequences, Collections",Vectors,Create,vector,https://github.com/clojure/core.rrb-vector
"Sequences, Collections",Vectors,Create,vec,https://github.com/clojure/core.rrb-vector
"Sequences, Collections",Vectors,Create,vector-of,https://github.com/clojure/core.rrb-vector
"Sequences, Collections",Vectors,Examine,nth,https://clojuredocs.org/clojure_core/clojure.core/nth
"Sequences, Collections",Vectors,Examine,get,https://clojuredocs.org/clojure_core/clojure.core/get
"Sequences, Collections",Vectors,Examine,peek,https://clojuredocs.org/clojure_core/clojure.core/peek
"Sequences, Collections",Vectors,Examine,.indexOf,https://docs.oracle.com/javase/8/docs/api/java/util/List.html#indexOf-java.lang.Object-
"Sequences, Collections",Vectors,Examine,.lastIndexOf,https://docs.oracle.com/javase/8/docs/api/java/util/List.html#lastIndexOf-java.lang.Object-
"Sequences, Collections",Vectors,Change',assoc,https://clojuredocs.org/clojure_core/clojure.core/assoc
"Sequences, Collections",Vectors,Change',assoc-in,https://clojuredocs.org/clojure_core/clojure.core/assoc-in
"Sequences, Collections",Vectors,Change',pop,https://clojuredocs.org/clojure_core/clojure.core/pop
"Sequences, Collections",Vectors,Change',subvec,https://clojuredocs.org/clojure_core/clojure.core/subvec
"Sequences, Collections",Vectors,Change',replace,https://clojuredocs.org/clojure_core/clojure.core/replace
"Sequences, Collections",Vectors,Change',conj,https://clojuredocs.org/clojure_core/clojure.core/conj
"Sequences, Collections",Vectors,Change',rseq,https://clojuredocs.org/clojure_core/clojure.core/rseq
"Sequences, Collections",Vectors,Change',update,https://clojuredocs.org/clojure_core/clojure.core/update
"Sequences, Collections",Vectors,Change',update-in,https://clojuredocs.org/clojure_core/clojure.core/update-in
"Sequences, Collections",Vectors,Ops,reduce-kv,https://clojuredocs.org/clojure_core/clojure.core/reduce-kv
"Sequences, Collections",Sets,Create,set,https://clojuredocs.org/clojure_core/clojure.core/set
"Sequences, Collections",Sets,Create,hash-set,https://clojuredocs.org/clojure_core/clojure.core/hash-set
"Sequences, Collections",Sets,Create,sorted-set,https://clojuredocs.org/clojure_core/clojure.core/sorted-set
"Sequences, Collections",Sets,Create,sorted-set-by,https://clojuredocs.org/clojure_core/clojure.core/sorted-set-by
"Sequences, Collections",Sets,Create,sorted-set,https://github.com/clojure/data.avl
"Sequences, Collections",Sets,Create,sorted-set-by,https://github.com/clojure/data.avl
"Sequences, Collections",Sets,Create,ordered-set,https://github.com/amalloy/ordered
"Sequences, Collections",Sets,Create,int-set,https://github.com/clojure/data.int-map
"Sequences, Collections",Sets,Create,dense-int-set,https://github.com/clojure/data.int-map
"Sequences, Collections",Sets,Examine,get,https://clojuredocs.org/clojure_core/clojure.core/get
"Sequences, Collections",Sets,Examine,contains?,https://clojuredocs.org/clojure_core/clojure.core/contains_q
"Sequences, Collections",Sets,Change',conj,https://clojuredocs.org/clojure_core/clojure.core/conj
"Sequences, Collections",Sets,Change',disj,https://clojuredocs.org/clojure_core/clojure.core/disj
"Sequences, Collections",Sets,Set ops,union,https://clojuredocs.org/clojure_core/clojure.set/union
"Sequences, Collections",Sets,Set ops,difference,https://clojuredocs.org/clojure_core/clojure.set/difference
"Sequences, Collections",Sets,Set ops,intersection,https://clojuredocs.org/clojure_core/clojure.set/intersection
"Sequences, Collections",Sets,Set ops,select,https://clojuredocs.org/clojure_core/clojure.set/select
"Sequences, Collections",Sets,Test,subset?,https://clojuredocs.org/clojure_core/clojure.set/subset_q
"Sequences, Collections",Sets,Test,superset?,https://clojuredocs.org/clojure_core/clojure.set/superset_q
"Sequences, Collections",Sets,Sorted sets,rseq,https://clojuredocs.org/clojure_core/clojure.core/rseq
"Sequences, Collections",Sets,Sorted sets,subseq,https://clojuredocs.org/clojure_core/clojure.core/subseq
"Sequences, Collections",Sets,Sorted sets,rsubseq,https://clojuredocs.org/clojure_core/clojure.core/rsubseq
"Sequences, Collections",Maps,Create,hash-map,https://clojuredocs.org/clojure_core/clojure.core/hash-map
"Sequences, Collections",Maps,Create,array-map,https://clojuredocs.org/clojure_core/clojure.core/array-map
"Sequences, Collections",Maps,Create,zipmap,https://clojuredocs.org/clojure_core/clojure.core/zipmap
"Sequences, Collections",Maps,Create,bean,https://clojuredocs.org/clojure_core/clojure.core/bean
"Sequences, Collections",Maps,Create,frequencies,https://clojuredocs.org/clojure_core/clojure.core/frequencies
"Sequences, Collections",Maps,Create,group-by,https://clojuredocs.org/clojure_core/clojure.core/group-by
"Sequences, Collections",Maps,Create,index,https://clojuredocs.org/clojure_core/clojure.set/index
"Sequences, Collections",Maps,Create,sorted-map,https://clojuredocs.org/clojure_core/clojure.core/sorted-map
"Sequences, Collections",Maps,Create,sorted-map-by,https://clojuredocs.org/clojure_core/clojure.core/sorted-map-by
"Sequences, Collections",Maps,Create,sorted-map,https://github.com/clojure/data.avl
"Sequences, Collections",Maps,Create,sorted-map-by,https://github.com/clojure/data.avl
"Sequences, Collections",Maps,Create,ordered-map,https://github.com/amalloy/ordered
"Sequences, Collections",Maps,Create,priority-map,https://github.com/clojure/data.priority-map
"Sequences, Collections",Maps,Create,ordering-map,https://github.com/amalloy/useful/blob/master/src/flatland/useful/map.clj#L243-L245
"Sequences, Collections",Maps,Create,int-map,https://github.com/clojure/data.int-map
"Sequences, Collections",Maps,Examine,get,https://clojuredocs.org/clojure_core/clojure.core/get
"Sequences, Collections",Maps,Examine,get,https://clojuredocs.org/clojure_core/clojure.core/get
"Sequences, Collections",Maps,Examine,get-in,https://clojuredocs.org/clojure_core/clojure.core/get-in
"Sequences, Collections",Maps,Examine,contains?,https://clojuredocs.org/clojure_core/clojure.core/contains_q
"Sequences, Collections",Maps,Examine,find,https://clojuredocs.org/clojure_core/clojure.core/find
"Sequences, Collections",Maps,Examine,keys,https://clojuredocs.org/clojure_core/clojure.core/keys
"Sequences, Collections",Maps,Examine,vals,https://clojuredocs.org/clojure_core/clojure.core/vals
"Sequences, Collections",Maps,Change',assoc,https://clojuredocs.org/clojure_core/clojure.core/assoc
"Sequences, Collections",Maps,Change',assoc-in,https://clojuredocs.org/clojure_core/clojure.core/assoc-in
"Sequences, Collections",Maps,Change',dissoc,https://clojuredocs.org/clojure_core/clojure.core/dissoc
"Sequences, Collections",Maps,Change',merge,https://clojuredocs.org/clojure_core/clojure.core/merge
"Sequences, Collections",Maps,Change',merge-with,https://clojuredocs.org/clojure_core/clojure.core/merge-with
"Sequences, Collections",Maps,Change',select-keys,https://clojuredocs.org/clojure_core/clojure.core/select-keys
"Sequences, Collections",Maps,Change',update,https://clojuredocs.org/clojure_core/clojure.core/update
"Sequences, Collections",Maps,Change',update-in,https://clojuredocs.org/clojure_core/clojure.core/update-in
"Sequences, Collections",Maps,Change',rename-keys,https://clojuredocs.org/clojure_core/clojure.set/rename-keys
"Sequences, Collections",Maps,Change',map-invert,https://clojuredocs.org/clojure_core/clojure.set/map-invert
"Sequences, Collections",Maps,Change',Medley,https://github.com/weavejester/medley
"Sequences, Collections",Maps,Ops,reduce-kv,https://clojuredocs.org/clojure_core/clojure.core/reduce-kv
"Sequences, Collections",Maps,Entry,key,https://clojuredocs.org/clojure_core/clojure.core/key
"Sequences, Collections",Maps,Entry,val,https://clojuredocs.org/clojure_core/clojure.core/val
"Sequences, Collections",Maps,Sorted maps,rseq,https://clojuredocs.org/clojure_core/clojure.core/rseq
"Sequences, Collections",Maps,Sorted maps,subseq,https://clojuredocs.org/clojure_core/clojure.core/subseq
"Sequences, Collections",Maps,Sorted maps,rsubseq,https://clojuredocs.org/clojure_core/clojure.core/rsubseq
"Sequences, Collections",Queues,Examine,peek,https://clojuredocs.org/clojure_core/clojure.core/peek
"Sequences, Collections",Queues,Change',conj,https://clojuredocs.org/clojure_core/clojure.core/conj
"Sequences, Collections",Queues,Change',pop,https://clojuredocs.org/clojure_core/clojure.core/pop
"Sequences, Collections",Relations,,join,https://clojuredocs.org/clojure_core/clojure.set/join
"Sequences, Collections",Relations,,select,https://clojuredocs.org/clojure_core/clojure.set/select
"Sequences, Collections",Relations,,project,https://clojuredocs.org/clojure_core/clojure.set/project
"Sequences, Collections",Relations,,union,https://clojuredocs.org/clojure_core/clojure.set/union
"Sequences, Collections",Relations,,difference,https://clojuredocs.org/clojure_core/clojure.set/difference
"Sequences, Collections",Relations,,intersection,https://clojuredocs.org/clojure_core/clojure.set/intersection
"Sequences, Collections",Relations,,index,https://clojuredocs.org/clojure_core/clojure.set/index
"Sequences, Collections",Relations,,rename,https://clojuredocs.org/clojure_core/clojure.set/rename
"Sequences, Collections",Transients,,clojure.org/reference/transients,https://clojure.org/reference/transients
"Sequences, Collections",Transients,Create,transient,https://clojuredocs.org/clojure_core/clojure.core/transient
"Sequences, Collections",Transients,Create,persistent!,https://clojuredocs.org/clojure_core/clojure.core/persistent%21
"Sequences, Collections",Transients,Change,conj!,https://clojuredocs.org/clojure_core/clojure.core/conj%21
